account_index,address,balance,total_value_usd,yesterday_balance,change_24h,AAVE,ETH,LDO,LINK,SKY,UNI,USDC
139714,0xdBD1bac81ad581C7198C9D155cA468F32a0C29DD,7180.60,1068463.88,7180.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
366619,0x8AeCc5526F92A46718f8E68516D22038D8670E0D,6719.40,1063755.19,6719.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
125395,0x551B30bc933E26E098Bd2e68d436C24ED39B7312,17493.00,1053742.26,17493.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
65659,0x9b28837dEB55b014F7a37F2812d6eC042CE87cA1,0.00,1034202.38,0.00,0,0.00000000,0.00007336,0.00000000,0.00000000,0.00000000,0.00000000,0.00780560
506385,0xa6CB81271418B9F41295FFF54be05F6250C7CbF6,1970.20,1032801.69,1970.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2151,0x004397A3573c77bdF6c422314E88cC0A805a7E71,396303.60,1018282.56,396303.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,726.78330500
68707,0xa396515B174bC87506414AeFee8B1D25d47172F1,31085.00,1016824.08,31085.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
44644,0x860E468Ca7716Dfa0dEB4FC84459A74b3974E5C5,0.00,997883.02,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38942.01438414
1504,0x11d67Fa925877813B744aBC0917900c2b1D6Eb81,59503.00,994684.30,59503.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,588745.60236900
688859,0xe82A56aE06D83e34B31fF0F6187D4E1f9482D960,57916.00,988372.94,57916.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
319804,0xb7e392648014e16D61D308Bd6C55f5ef0D982568,0.00,969980.07,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00973200
361,0x76a233a69a27A31D964d7bdB2Aecf33929742545,0.00,963469.94,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000051
688862,0xDBf9ab9e90094D24FFD5E07a9333BE1125eE25ba,39002.20,959021.03,39002.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
44686,0xDEE05eaE457d47dC2bc0b7c9FA8c39778469D4bF,0.00,957245.23,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00712444
701421,0x933aDeDd85824dA75ec8a334a7907e69e7c02833,346043.89,950179.24,346043.89,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00362100
314236,0x92b48ff5Bc280Ea9Bc2e45A7AD1B28dFeEB1F58a,67062.69,944720.40,67062.69,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,116585.63631547
81270,0xaC0a40d8fAaFd63CD204c485cbDE2027Fa563459,771544.35,936908.87,771544.35,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00703900
